en,Who is the scariest hero?,1. Santa Claus,2. Clown,3. Goblin,4. Kashchei the Deathless,2
en,Why 4 seasons?,1. To change tires 2 times a year,2. To take vacation at different times,3. Just like that,4. Because Gladiolus,3
en,What city is the best in the world?,1. Odessa,2. Kyiv,3. Poltava,4. Dnipro,1
en,Why is the Black Sea the bluest?,1. So painted,2. Due to the large amount of hydrogen sulfide,3. From heating in the sun,4. Because Gladiolus,2
en,What is the largest continent on Earth?,1. Asia,2. Eurasia,3. America,4. Australia,2
pl,Kto jest najbardziej przerażającym bohaterem?,1. Święty Mikołaj,2. Klaun,3. Goblin,4. Kashchei the Immortal,2
pl,dlaczego 4 pory roku?,1. Zmieniać opony 2 razy w roku,2. Wyjeżdżać na wakacje o różnych porach,3. Tak po prostu,4. Bo Gladiolus,3
pl,Jakie miasto jest najlepsze na Ziemi?,1. Odessa,2. Kijów,3. Połtawa,4. Dniepr,1
pl,Dlaczego Morze Czarne jest najbardziej niebieskie?,1. Tak pomalowane,2. Ze względu na dużą ilość siarkowodoru,3. Od ogrzewania na słońcu,4. Ponieważ Gladiolus,2
pl,Jaki jest największy kontynent na Ziemi?, 1.Azja, 2.Eurazja, 3.Ameryka, 4.Australia,2
est,Kes on kõige hirmutavam kangelane?,1. Jõuluvana, 2. Kloun, 3. Goblin, 4. Koschei Surematu,2
est,Miks 4 hooaega?, 1. Vahetada rehve 2 korda aastas, 2. Puhkuse võtmiseks erinevatel aegadel,3. Just nii,4. Sest Gladioolid,3
est,Milline linn on maailma parim?,1. Odessa,2. Kiiev,3. Poltava,4. Dnepri,1
est,Miks on Must meri kõige sinisem?,1. Nii värvitud,2. Suure vesiniksulfiidi hulga tõttu,3. Päikese käes soojendamisest,4. Sest Gladioolid,2
est,Mis on Maa suurim kontinent?,1. Aasia,2. Euraasia,3. Ameerika,4. Austraalia,2
